product_handle,product_name,tagline,bullet_1,bullet_2,bullet_3,bullet_4,why_love_it_1,why_love_it_2,why_love_it_3,why_love_it_4,why_love_it_5,ingredients,how_to_use,nutrition_serving_size,nutrition_calories,nutrition_protein_g,nutrition_carbs_g,nutrition_fiber_g,nutrition_fat_g,nutrition_sodium_mg,nutrition_sugar_g,badges
# INSTRUCTIONS:
# - product_handle: Shopify product slug (found in admin URL). REQUIRED.
# - tagline: short text shown below the product title (120–220 chars recommended).
# - bullet_1 to bullet_4: 4 feature highlights shown with checkmark icons.
# - why_love_it_1 to why_love_it_5: accordion bullet points under "Why You'll Love It".
# - ingredients: full ingredients list for the Ingredients accordion.
# - how_to_use: usage instructions for the How To Use accordion.
# - nutrition_*: numeric values only (no units). Leave blank to hide that row.
# - badges: pipe-separated tags e.g. "High Protein|Gluten Free|Vegan". Must match BADGE_MAP keys exactly.
# - Wrap any field containing commas in double quotes.
# - Delete these comment rows before uploading.
sprouted-wheat-atta,Dhatu Organics Sprouted Wheat Atta,"Stone-ground from traditionally sprouted organic wheat, this atta retains the full bran and germ — delivering richer flavour, higher nutrition, and superior digestibility compared to regular whole wheat flour.",100% Certified Organic,Traditionally sprouted for better nutrition,Stone-ground — retains bran & germ,No maida · No additives,"Sprouting activates natural enzymes that pre-digest starches, making each roti lighter and easier to digest","Higher iron, zinc, and B-vitamins than regular atta due to the sprouting process","Stone-milling at low temperature preserves heat-sensitive nutrients and natural flavour","Sourced from verified organic farms in Madhya Pradesh — zero pesticides, zero chemicals","Ideal for rotis, parathas, and baked goods — your family's everyday flour, elevated","Organic Sprouted Whole Wheat (100%). Manufactured in a facility that also processes gluten-containing grains.","Use like regular atta. For rotis: mix with warm water to a soft dough, rest for 15 minutes, then roll and cook on a hot tawa. Can be blended with other Dhatu flours for variety.",30g,108,4.2,20,3.1,0.8,2,0.5,Organic|High Fiber
wild-forest-honey-raw,Dhatu Organics Wild Forest Honey — Raw & Unfiltered,"Harvested by tribal communities from untouched forest hives in the Western Ghats, this raw honey is never heated, never filtered — just pure wildflower nectar with all its enzymes, pollens, and antioxidants intact.",Raw & Unprocessed,Rich in natural enzymes & antioxidants,Ethically sourced from tribal forest communities,No added sugar · No heating · No filtering,"Raw honey retains live enzymes (diastase, invertase) that are destroyed by commercial heating","Each batch carries the unique floral signature of the season's bloom — naturally varied in colour and taste","Supports tribal livelihoods — sourced through fair-trade partnerships in the Western Ghats","Natural antimicrobial properties make it a traditional remedy for sore throats and minor wounds","May crystallise naturally over time — a sign of purity. Gently warm the jar in water to re-liquefy","100% Raw Wild Forest Honey. May contain traces of pollen and beeswax. Not suitable for children under 1 year.","Take 1 teaspoon directly or mix into warm (not hot) water, herbal tea, or milk. Use as a natural sweetener in smoothies and dressings. Store at room temperature away from direct sunlight.",15g,46,0.1,12,0,0,1,11.5,Raw|Vegan|Gluten Free
little-millet-flakes,Dhatu Organics Little Millet Flakes,"A quick-cook breakfast grain made from certified organic little millet (samai), traditionally valued in South India for its light, cooling properties. Ready in 5 minutes — wholesome, gluten-free, and packed with minerals.",Gluten Free & Gut-Friendly,Rich in magnesium & phosphorus,Cooks in under 5 minutes,Low glycaemic index · Ideal for all ages,"Little millet is one of India's oldest cultivated grains — naturally drought-resistant and grown without irrigation","Higher calcium content than most cereals — supports bone health for children and adults","The light, cooling nature of samai makes it excellent for summer porridges and weaning foods","Certified gluten-free — safe for those with celiac disease or gluten sensitivity","Sourced from organic dryland farms in Karnataka — supporting traditional millet cultivation","Organic Little Millet (100%). Gluten-free. Processed in a dedicated gluten-free facility.","Porridge: bring 200ml water or milk to a boil, add 4 tbsp millet flakes, stir and cook 3–5 minutes on low heat. Sweeten with jaggery or honey. Alternatively, soak overnight and use uncooked in smoothie bowls.",30g,112,2.8,22,1.9,1.2,3,0.8,Gluten Free|Vegan|Low GI
